player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Dwight Powell,DAL,30,208.28,108.86208,1,0,2014,2,45,82,8.7,4.9,1.2,2.5,0.099,0.134,0.136,0.725,0.081
Aaron Gordon,DEN,26,203.2,106.59412,1,1,2014,1,4,75,15,5.9,2.5,6.2,0.057,0.129,0.194,0.602,0.109
Nikola Jokic,DEN,27,210.82,128.820128,0,0,2014,2,41,74,27.1,13.8,7.9,8.4,0.09,0.313,0.309,0.661,0.388
Jerami Grant,DET,28,203.2,95.25432,1,1,2014,2,39,47,19.2,4.1,2.4,-7.8,0.017,0.108,0.253,0.556,0.13
Andrew Wiggins,GSW,27,200.66,89.357624,1,0,2014,1,1,73,17.2,4.5,2.2,5.8,0.036,0.095,0.224,0.56,0.109
Rodney Hood,LAC,29,203.2,94.347136,1,1,2014,1,23,52,3.1,1.5,0.7,0.8,0.021,0.081,0.106,0.493,0.074
Kyle Anderson,MEM,28,205.74,104.32616,1,1,2014,1,30,69,7.6,5.3,2.7,2,0.041,0.196,0.156,0.506,0.162
Thanasis Antetokounmpo,MIL,29,198.12,99.336648,0,0,2014,2,51,48,3.6,2.1,0.5,-10.1,0.083,0.129,0.155,0.577,0.071
Julius Randle,NYK,27,203.2,113.398,1,1,2014,1,7,72,20.1,9.9,5.1,-3.6,0.045,0.225,0.279,0.509,0.251
Gary Harris,ORL,27,193.04,95.25432,1,1,2014,1,19,61,11.1,2,1.8,-5.9,0.02,0.048,0.16,0.571,0.094
Joel Embiid,PHI,28,213.36,127.00576,1,0,2014,1,3,68,30.6,11.7,4.2,7.9,0.068,0.273,0.375,0.616,0.236
Elfrid Payton,PHX,28,190.5,88.45044,1,1,2014,1,10,50,3,1.8,2,-2,0.035,0.115,0.175,0.397,0.252
Jusuf Nurkic,POR,27,210.82,131.54168,0,0,2014,1,16,56,15,11.1,2.8,-0.1,0.101,0.283,0.233,0.586,0.16
Doug McDermott,SAS,30,200.66,102.0582,1,1,2014,1,11,51,11.3,2.3,1.3,-1.8,0.014,0.076,0.178,0.593,0.068
Jordan Clarkson,UTA,30,193.04,87.996848,1,1,2014,2,46,79,16,3.5,2.5,8.7,0.03,0.091,0.258,0.532,0.144
Delon Wright,ATL,30,195.58,83.91452,1,1,2015,1,20,77,4.4,2.9,2.4,2.8,0.035,0.116,0.101,0.576,0.178
Kelly Oubre Jr.,CHA,26,198.12,92.079176,1,1,2015,1,15,76,15,4,1.1,-0.2,0.036,0.106,0.223,0.56,0.063
Terry Rozier,CHA,28,185.42,86.18248,1,1,2015,1,16,73,19.3,4.3,4.5,1.4,0.021,0.101,0.227,0.566,0.197
Montrezl Harrell,CHA,28,200.66,108.86208,1,1,2015,2,32,71,13.1,6.1,2,3,0.092,0.163,0.198,0.68,0.139
Cedi Osman,CLE,27,200.66,104.32616,0,0,2015,2,31,66,10.7,2.2,2,-1.8,0.017,0.08,0.206,0.563,0.144
Kevon Looney,GSW,26,205.74,100.697424,1,1,2015,1,30,82,6,7.3,2,6,0.12,0.21,0.12,0.586,0.127
Myles Turner,IND,26,210.82,113.398,1,1,2015,1,11,42,12.9,7.1,1,-0.3,0.052,0.188,0.173,0.615,0.053
Justin Anderson,IND,28,195.58,104.779752,1,1,2015,1,21,16,6.4,2.9,2.1,-0.1,0.013,0.142,0.149,0.493,0.135
