player_name,team_abbreviation,age,player_height_cm,player_weight_kg,college,country_born_in,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct
Cassius Winston,WAS,24,185.42,83.91452,Michigan State,USA,2020,2,53,7,2,0.1,1,-3.4,0,0.027,0.184,0.549,0.28
Daniel Oturu,TOR,22,203.2,108.86208,Minnesota,USA,2020,2,33,3,3,1.7,0,-36.8,0.036,0.148,0.125,0.549,0
Sam Merrill,MEM,26,193.04,92.98636,Utah State,USA,2020,2,60,6,4.2,1.2,0.7,-11.1,0.012,0.107,0.178,0.485,0.108
Saben Lee,DET,23,187.96,83.007336,Vanderbilt,USA,2020,2,38,37,5.6,2.4,2.9,-5.7,0.026,0.113,0.169,0.499,0.274
Skylar Mays,ATL,24,193.04,92.98636,Louisiana State,USA,2020,2,50,28,2.9,0.9,0.6,-12.9,0.022,0.091,0.149,0.589,0.12
Paul Reed,PHI,23,205.74,95.25432,DePaul,USA,2020,2,58,38,3.1,2.4,0.4,-6.2,0.137,0.164,0.151,0.568,0.081
Robert Woodard II,SAS,22,198.12,106.59412,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,0.086,0.146,0.158,0.207,0.086
Reggie Perry,POR,22,203.2,113.398,Mississippi State,USA,2020,2,57,10,9.2,4.7,1.2,-16.6,0.074,0.165,0.222,0.537,0.118
Tre Jones,SAS,22,185.42,83.91452,Duke,USA,2020,2,41,69,6,2.2,3.4,-0.5,0.024,0.103,0.151,0.545,0.28
Theo Maledon,OKC,21,193.04,79.3786,None,France,2020,2,34,51,7.1,2.6,2.2,-10.5,0.02,0.118,0.201,0.5,0.188
Xavier Tillman Sr.,MEM,23,203.2,111.13004,Michigan State,USA,2020,2,35,53,4.8,3,1.2,-1.4,0.084,0.138,0.164,0.51,0.127
Vit Krejci,OKC,22,203.2,88.45044,None,Czech Republic,2020,2,37,30,6.2,3.4,1.9,-12.8,0.024,0.121,0.125,0.529,0.117
Vernon Carey Jr.,WAS,21,205.74,122.46984,Duke,USA,2020,2,32,7,2.9,1.7,0,-47.6,0.145,0.093,0.179,0.534,0
Tyrell Terry,MEM,21,187.96,72.57472,Stanford,USA,2020,2,31,2,1,0,0,-6.9,0,0,0.111,1,0
Kenyon Martin Jr.,HOU,21,195.58,97.52228,None,USA,2020,2,52,79,8.8,3.8,1.3,-6.9,0.047,0.131,0.158,0.603,0.091
Jordan Nwora,MIL,23,203.2,102.0582,Louisville,USA,2020,2,45,62,7.9,3.6,1,-3,0.03,0.147,0.187,0.506,0.071
Nick Richards,CHA,24,213.36,111.13004,Kentucky,Jamaica,2020,2,42,50,3,1.7,0.3,-13,0.086,0.137,0.147,0.689,0.054
Marko Simonovic,CHI,22,210.82,99.79024,None,Montenegro,2020,2,44,9,1.9,1.1,0,1.2,0.122,0.119,0.247,0.428,0
Georgios Kalaitzakis,OKC,23,200.66,87.089664,None,Greece,2021,2,60,13,6.6,1.6,0.9,-29.3,0.026,0.074,0.2,0.536,0.09
Herbert Jones,NOP,23,200.66,93.439952,Alabama,USA,2021,2,35,78,9.5,3.8,2.1,2,0.041,0.086,0.136,0.573,0.097
Greg Brown III,POR,20,200.66,93.439952,Texas-Austin,USA,2021,2,43,48,4.7,2.8,0.7,-17.6,0.057,0.15,0.168,0.515,0.087
Joe Wieskamp,SAS,22,198.12,92.98636,Iowa,USA,2021,2,41,29,2.1,0.5,0.3,1.5,0.017,0.045,0.129,0.494,0.065
Jericho Sims,NYK,23,205.74,113.398,Texas-Austin,USA,2021,2,58,41,2.2,4.1,0.5,6.5,0.108,0.187,0.068,0.674,0.054
Jeremiah Robinson-Earl,OKC,21,203.2,109.769264,Villanova,USA,2021,2,32,49,7.5,5.6,1,-9.8,0.061,0.172,0.152,0.526,0.069
Jared Butler,UTA,21,190.5,87.543256,Baylor,USA,2021,2,40,42,3.8,1.1,1.5,-0.1,0.014,0.102,0.221,0.509,0.258
JT Thor,CHA,19,205.74,92.079176,Auburn,USA,2021,2,37,33,2,1.3,0.6,0.3,0.04,0.111,0.116,0.525,0.097
Isaiah Todd,WAS,20,205.74,99.336648,None,USA,2021,2,31,12,1.7,1,0.3,-15.6,0.034,0.123,0.188,0.349,0.095
Isaiah Livers,DET,23,198.12,105.233344,Michigan,USA,2021,2,42,19,6.4,3,1.1,-0.8,0.037,0.109,0.125,0.629,0.077
Brandon Boston,LAC,20,198.12,85.275296,Kentucky,USA,2021,2,51,51,6.7,2.2,1,-2,0.02,0.111,0.212,0.481,0.103
Aaron Wiggins,OKC,23,193.04,86.18248,Maryland,USA,2021,2,55,50,8.3,3.6,1.4,-8.1,0.04,0.098,0.149,0.556,0.083
Ayo Dosunmu,CHI,22,193.04,90.7184,Illinois,USA,2021,2,38,77,8.8,2.8,3.3,-5,0.013,0.09,0.138,0.596,0.164
David Johnson,TOR,21,193.04,92.079176,Louisville,USA,2021,2,47,2,0,0,0,-75,0,0,0.143,0,0
Charles Bassey,PHI,21,205.74,104.32616,Western Kentucky,Nigeria,2021,2,53,23,3,2.7,0.3,-8.8,0.124,0.233,0.152,0.66,0.07
Dalano Banton,TOR,22,200.66,92.532768,Nebraska,Canada,2021,2,46,64,3.2,1.9,1.5,1.5,0.048,0.124,0.159,0.463,0.197
Sandro Mamukelashvili,MIL,23,205.74,108.86208,Seton Hall,Georgia,2021,2,54,41,3.8,2,0.5,-17.6,0.079,0.116,0.142,0.618,0.084
Scottie Lewis,CHA,22,195.58,83.91452,Florida,USA,2021,2,56,2,0.5,0,0.5,-11.8,0,0,0.059,0.568,0.2
Sharife Cooper,ATL,21,185.42,79.832192,Auburn,USA,2021,2,48,13,0.5,0.4,0.4,-43.9,0,0.147,0.202,0.25,0.313
